Names,Categories,Categories_code,ScrapData
Open-chain_compound,Chemistry,1,"In chemistry, an open-chain compound (also spelled as open chain compound) or acyclic compound (Greek prefix ""α"", without and ""κύκλος"", cycle) is a compound with a linear structure, rather than a cyclic one.[1]
An open-chain compound having no side chains is called a straight-chain compound (also spelled as straight chain compound).[2][3] Many of the simple molecules of organic chemistry, such as the alkanes and alkenes, have both linear and ring isomers, that is, both acyclic and cyclic, with the latter often classified as aromatic. For those with 4 or more carbons, the linear forms can have straight-chain or branched-chain isomers. The lowercase prefix n- denotes the straight-chain isomer; for example, n-butane is straight-chain butane, whereas i-butane is isobutane. Cycloalkanes are isomers of alkenes, not of alkanes, because the ring's closure involves a C-C bond. Having no rings (aromatic or otherwise), all open-chain compounds are aliphatic.
 Typically in biochemistry, some isomers are more prevalent than others. For example, in living organisms, the open-chain isomer of glucose usually exists only transiently, in small amounts; D-glucose is the usual isomer; and L-glucose is rare.
 Straight-chain molecules are often not literally straight, in the sense that their bond angles are often not 180°, but the name reflects that they are schematically straight. For example, the straight-chain alkanes are wavy or ""puckered"", as the models below show.
"
Addition_reaction,Chemistry,1,"An addition reaction, in organic chemistry, is in its simplest terms an organic reaction where two or more molecules combine to form a larger one (the adduct).[1][2] Addition reactions are limited to chemical compounds that have multiple bonds, such as molecules with carbon–carbon double bonds (alkenes), or with triple bonds (alkynes), and compounds that have rings, which are also considered points of unsaturation. Molecules containing carbon—hetero double bonds like carbonyl (C=O) groups, or imine (C=N) groups, can undergo addition, as they too have double-bond character.
 An addition reaction is the reverse of an elimination reaction. For instance, the hydration of an alkene to an alcohol is reversed by dehydration. 
 There are two main types of polar addition reactions: electrophilic addition and nucleophilic addition. Two non-polar addition reactions exist as well, called free-radical addition and cycloadditions.  Addition reactions are also encountered in polymerizations and called addition polymerization.  
 Depending on the product structure, it could promptly react further to eject a leaving group to give the addition–elimination reaction sequence.
"
Adhesion,Chemistry,1,"Adhesion is the tendency of dissimilar particles or surfaces to cling to one another (cohesion refers to the tendency of similar or identical particles/surfaces to cling to one another). 
 Note 1: Adhesion requires energy that can come from chemical and/or physicallinkages, the latter being reversible when enough energy is applied.
 Note 2: In biology, adhesion reflects the behavior of cells shortly after contactto the surface.
 The forces that cause adhesion and cohesion can be divided into several types. The intermolecular forces responsible for the function of various kinds of stickers and sticky tape fall into the categories of chemical adhesion, dispersive adhesion, and diffusive adhesion. In addition to the cumulative magnitudes of these intermolecular forces, there are also certain emergent mechanical effects.
"
Adsorption,Chemistry,1,"Adsorption is the adhesion of atoms, ions or molecules from a gas, liquid or dissolved solid to a surface.[1] This process creates a film of the adsorbate on the surface of the adsorbent. This process differs from absorption, in which a fluid (the absorbate) is dissolved by or permeates a liquid or solid (the absorbent), respectively.[2] Adsorption is a surface phenomenon, while absorption involves the whole volume of the material, although adsorption does often precede absorption.[3] The term sorption encompasses both processes, while desorption is the reverse of it.
 Note 1: Adsorption of proteins is of great importance when a material is in contact with blood or body fluids. In the case of blood, albumin, which is largely predominant, is generally adsorbed first, and then rearrangements occur in favor of other minor proteins according to surface affinity against mass law selection (Vroman effect).
 Similar to surface tension, adsorption is a consequence of surface energy. In a bulk material, all the bonding requirements (be they ionic, covalent or metallic) of the constituent atoms of the material are filled by other atoms in the material. However, atoms on the surface of the adsorbent are not wholly surrounded by other adsorbent atoms and therefore can attract adsorbates. The exact nature of the bonding depends on the details of the species involved, but the adsorption process is generally classified as physisorption (characteristic of weak van der Waals forces) or chemisorption (characteristic of covalent bonding). It may also occur due to electrostatic attraction.[5] Adsorption is present in many natural, physical, biological and chemical systems and is widely used in industrial applications such as heterogeneous catalysts,[6][7] activated charcoal, capturing and using waste heat to provide cold water for air conditioning and other process requirements (adsorption chillers), synthetic resins, increasing storage capacity of carbide-derived carbons and water purification. Adsorption, ion exchange and chromatography are sorption processes in which certain adsorbates are selectively transferred from the fluid phase to the surface of insoluble, rigid particles suspended in a vessel or packed in a column. Pharmaceutical industry applications, which use adsorption as a means to prolong neurological exposure to specific drugs or parts thereof,[citation needed] are lesser known.
 The word ""adsorption"" was coined in 1881 by German physicist Heinrich Kayser (1853–1940).[8]"
Aeration,Chemistry,1,"Aeration (also called aerification or aeriation) is the process by which air is circulated through, mixed with or dissolved in a liquid.
"
Alcohol,Chemistry,1,"
 
 In chemistry, alcohol is an organic compound that carries at least one hydroxyl functional group (−OH) bound to a saturated carbon atom.[2] The term alcohol originally referred to the primary alcohol ethanol (ethyl alcohol), which is used as a drug and is the main alcohol present in alcoholic beverages. An important class of alcohols, of which methanol and ethanol are the simplest members, includes all compounds for which the general formula is CnH2n+1OH. Simple monoalcohols that are the subject of this article include primary (RCH2OH), secondary (R2CHOH) and tertiary (R3COH) alcohols.
 The suffix -ol appears in the IUPAC chemical name of all substances where the hydroxyl group is the functional group with the highest priority. When a higher priority group is present in the compound, the prefix hydroxy- is used in its IUPAC name. The suffix -ol in non-IUPAC names (such as paracetamol or cholesterol) also typically indicates that the substance is an alcohol. However, many substances that contain hydroxyl functional groups (particularly sugars, such as glucose and sucrose) have names which include neither the suffix -ol, nor the prefix hydroxy-. 
"
Aldehyde,Chemistry,1,"Aldehydes, which are generally created by removing a hydrogen from an alcohol, are common in organic chemistry; the most well-known is formaldehyde.  As they are frequently strongly scented, many fragrances are or contain aldehydes. 
 Chemically, an aldehyde /ˈældɪhaɪd/ is a compound containing a functional group with the structure −CHO, consisting of a carbonyl center (a carbon double-bonded to oxygen) with the carbon atom also bonded to hydrogen and to any generic alkyl or side chain R group,[1]. The functional group itself (i.e. without the ""R"" side chain) is known as an aldehyde or formyl group.  
"
Alkali_metal,Chemistry,1,"
 The alkali metals consist of the chemical elements lithium (Li), sodium (Na), potassium (K),[note 1] rubidium (Rb), caesium (Cs),[note 2] and francium (Fr). Together with hydrogen they constitute group 1,[note 3] which lies in the s-block of the periodic table. All alkali metals have their outermost electron in an s-orbital: this shared electron configuration results in their having very similar characteristic properties.[note 4] Indeed, the alkali metals provide the best example of group trends in properties in the periodic table, with elements exhibiting well-characterised homologous behaviour. This family of elements is also known as the lithium family after its leading element.
 Legend
 The alkali metals are all shiny, soft, highly reactive metals at standard temperature and pressure and readily lose their outermost electron to form cations with charge +1. They can all be cut easily with a knife due to their softness, exposing a shiny surface that tarnishes rapidly in air due to oxidation by atmospheric moisture and oxygen (and in the case of lithium, nitrogen). Because of their high reactivity, they must be stored under oil to prevent reaction with air, and are found naturally only in salts and never as the free elements. Caesium, the fifth alkali metal, is the most reactive of all the metals. All the alkali metals react with water, with the heavier alkali metals reacting more vigorously than the lighter ones.
 All of the discovered alkali metals occur in nature as their compounds: in order of abundance, sodium is the most abundant, followed by potassium, lithium, rubidium, caesium, and finally francium, which is very rare due to its extremely high radioactivity; francium occurs only in minute traces in nature as an intermediate step in some obscure side branches of the natural decay chains. Experiments have been conducted to attempt the synthesis of ununennium (Uue), which is likely to be the next member of the group; none was successful. However, ununennium may not be an alkali metal due to relativistic effects, which are predicted to have a large influence on the chemical properties of superheavy elements; even if it does turn out to be an alkali metal, it is predicted to have some differences in physical and chemical properties from its lighter homologues.
 Most alkali metals have many different applications. One of the best-known applications of the pure elements is the use of rubidium and caesium in atomic clocks, of which caesium atomic clocks form the basis of the second. A common application of the compounds of sodium is the sodium-vapour lamp, which emits light very efficiently. Table salt, or sodium chloride, has been used since antiquity. Lithium finds use as a psychiatric medication and as an anode in lithium batteries. Sodium and potassium are also essential elements, having major biological roles as electrolytes, and although the other alkali metals are not essential, they also have various effects on the body, both beneficial and harmful.
"
Alkaline_earth_metal,Chemistry,1,"The alkaline earth metals are six chemical elements in group 2 of the periodic table. They are beryllium (Be), magnesium (Mg), calcium (Ca), strontium (Sr), barium (Ba), and radium (Ra).[1] The elements have very similar properties: they are all shiny, silvery-white, somewhat reactive metals at standard temperature and pressure.[2] Legend
 Structurally, they (together with helium) have in common an outer s-orbital which is full;[2][3][4]
that is, this orbital contains its full complement of two electrons, which the alkaline earth metals readily lose to form cations with charge +2, and an oxidation state of +2.[5] All the discovered alkaline earth metals occur in nature, although radium occurs only through the decay chain of uranium and thorium and not as a primordial element.[6] There have been experiments, all unsuccessful, to try to synthesize element 120, the next potential member of the group.
"
Alkane,Chemistry,1,"
 In organic chemistry, an alkane, or paraffin (a historical name that also has other meanings), is an acyclic saturated hydrocarbon. In other words, an alkane consists of hydrogen and carbon atoms arranged in a tree structure in which all the carbon–carbon bonds are single.[1] Alkanes have the general chemical formula CnH2n+2. The alkanes range in complexity from the simplest case of methane (CH4), where n = 1 (sometimes called the parent molecule), to arbitrarily large and complex molecules, like pentacontane (C50H102) or 6-ethyl-2-methyl-5-(1-methylethyl) octane, an isomer of tetradecane (C14H30).
 International Union of Pure and Applied Chemistry defines alkanes as ""acyclic branched or unbranched hydrocarbons having the general formula CnH2n+2, and therefore consisting entirely of hydrogen atoms and saturated carbon atoms"". However, some sources use the term to denote any saturated hydrocarbon, including those that are either monocyclic (i.e. the cycloalkanes) or polycyclic,[2] despite their having a distinct general formula (i.e. cycloalkanes are CnH2n).
 In an alkane, each carbon atom is sp3-hybridized with 4 sigma bonds (either C–C or C–H), and each hydrogen atom is joined to one of the carbon atoms (in a C–H bond). The longest series of linked carbon atoms in a molecule is known as its carbon skeleton or carbon backbone. The number of carbon atoms may be considered as the size of the alkane.
 One group of the higher alkanes are waxes, solids at standard ambient temperature and pressure (SATP), for which the number of carbon atoms in the carbon backbone is greater than about 17.
With their repeated –CH2 units, the alkanes constitute a homologous series of organic compounds in which the members differ in molecular mass by multiples of 14.03 u (the total mass of each such methylene-bridge unit, which comprises a single carbon atom of mass 12.01 u and two hydrogen atoms of mass ~1.01 u each).
 Methane is produced by methanogenic bacteria and some long-chain alkanes function as pheromones in certain animal species or as protective waxes in plants and fungi. Nevertheless, most alkanes do not have much biological activity.  They can be viewed as molecular trees upon which can be hung the more active/reactive functional groups of biological molecules.
 The alkanes have two main commercial sources: petroleum (crude oil)[3] and natural gas.
 An alkyl group is an alkane-based molecular fragment that bears one open valence for bonding. They are generally abbreviated with the symbol for any organyl group, R, although Alk is sometimes used to specifically symbolize an alkyl group (as opposed to an alkenyl group or aryl group).
"
Alkene,Chemistry,1,"
 In chemistry, an alkene is a hydrocarbon that contains a carbon–carbon double bond.[1] The term is often used as synonym of olefin, that is, any hydrocarbon containing one or more double bonds.[2] However, the IUPAC recommends using the name ""alkene"" only for acyclic hydrocarbons with just one double bond; alkadiene, alkatriene, etc., or polyene for acyclic hydrocarbons with two or more double bonds; cycloalkene, cycloalkadiene, etc. for cyclic ones; and ""olefin"" for the general class — cyclic or acyclic, with one or more double bonds.[3][4][5] Acyclic alkenes, with only one double bond and no other functional groups (also known as mono-enes) form a homologous series of hydrocarbons with the general formula CnH2n with n being 2 or more (which is two hydrogens less than the corresponding alkane). When n is four or more, there are multiple isomers with this formula, distinguished by the position and conformation of the double bond.
 Alkenes are generally colorless apolar compounds, somewhat similar to alkanes but more reactive. The first few members of the series are gases or liquids at room temperature.  The simplest alkene, ethylene (C2H4) (or ""ethene"" in the IUPAC nomenclature) is the organic compound produced on the largest scale industrially.[6] Aromatic compounds are often drawn as cyclic alkenes, but their structure and properties are sufficiently distinct that they are not classified as alkenes or olefins.[4]  Hydrocarbons with two overlapping double bonds (C=C=C) are called allenes after the simplest such compound, and those with three or more overlapping bonds (C=C=C=C, C=C=C=C=C, etc.) are called cumulenes.  Some authors do not consider allenes and cumulenes to be ""alkenes"".
"
Alkyl_group,Chemistry,1,"In organic chemistry, an alkyl substituent is an alkane missing one hydrogen.[1]
The term alkyl is intentionally unspecific to include many possible substitutions. 
An acyclic alkyl has the general formula of CnH2n+1. A cycloalkyl is derived from a cycloalkane by removal of a hydrogen atom from a ring and has the general formula CnH2n-1.[2]
Typically an alkyl is a part of a larger molecule. In structural formula, the symbol R is used to designate a generic (unspecified) alkyl group. The smallest alkyl group is methyl, with the formula CH3−.
[3]"
Alkyne,Chemistry,1,"In organic chemistry, an alkyne is an unsaturated hydrocarbon containing at least one carbon—carbon triple bond.[1] The simplest acyclic alkynes with only one triple bond and no other functional groups form a homologous series with the general chemical formula CnH2n−2. Alkynes are traditionally known as acetylenes, although the name acetylene also refers specifically to C2H2, known formally as ethyne using IUPAC nomenclature. Like other hydrocarbons, alkynes are generally hydrophobic.
"
Allomer,Chemistry,1,"Allomerism is the similarity in the crystalline structure of substances of different chemical composition.
"
Allotrope,Chemistry,1,"Allotropy or allotropism (from Ancient Greek  ἄλλος (allos) 'other', and  τρόπος (tropos) 'manner, form') is the property of some chemical elements to exist in two or more different forms, in the same physical state, known as allotropes of the elements. Allotropes are different structural modifications of an element;[1] the atoms of the element are bonded together in a different manner. For example, the allotropes of carbon include diamond (the carbon atoms are bonded together in a tetrahedral lattice arrangement), graphite (the carbon atoms are bonded together in sheets of a hexagonal lattice), graphene (single sheets of graphite), and fullerenes (the carbon atoms are bonded together in spherical, tubular, or ellipsoidal formations). The term allotropy is used for elements only, not for compounds. The more general term, used for any crystalline material, is polymorphism. Allotropy refers only to different forms of an element within the same phase (i.e.:  solid, liquid or gas states); the differences between these states would not alone constitute examples of allotropy.
 For some elements, allotropes have different molecular formulae despite difference in phase; for example, two allotropes of oxygen (dioxygen, O2, and ozone, O3) can both exist in the solid, liquid and gaseous states. Other elements do not maintain distinct allotropes in different phases; for example, phosphorus has numerous solid allotropes, which all revert to the same P4 form when melted to the liquid state.
"
Alloy,Chemistry,1,"
 An alloy is a combination of metals or metals combined with one or more other elements. For example, combining the metallic elements gold and copper produces red gold, gold and silver becomes white gold, and silver combined with copper produces sterling silver. Elemental iron, combined with non-metallic carbon or silicon, produces alloys called steel or silicon steel. The resulting mixture forms a substance with properties that often differ from those of the pure metals, such as increased strength or hardness. Unlike other substances that may contain metallic bases but do not behave as metals, such as aluminium oxide (sapphire), beryllium aluminium silicate (emerald) or sodium chloride (salt), an alloy will retain all the properties of a metal in the resulting material, such as electrical conductivity, ductility, opaqueness, and luster. Alloys are used in a wide variety of applications, from the steel alloys, used in everything from buildings to automobiles to surgical tools, to exotic titanium-alloys used in the aerospace industry, to beryllium-copper alloys for non-sparking tools. In some cases, a combination of metals may reduce the overall cost of the material while preserving important properties. In other cases, the combination of metals imparts synergistic properties to the constituent metal elements such as corrosion resistance or mechanical strength. Examples of alloys are steel, solder, brass, pewter, duralumin, bronze and amalgams.
 An alloy may be a solid solution of metal elements (a single phase, where all metallic grains (crystals) are of the same composition) or a mixture of metallic phases (two or more solutions, forming a microstructure of different crystals within the metal). Intermetallic compounds are alloys with a defined stoichiometry and crystal structure. Zintl phases are also sometimes considered alloys depending on bond types (see Van Arkel–Ketelaar triangle for information on classifying bonding in binary compounds).
 Alloys are defined by a metallic bonding character.[1] The alloy constituents are usually measured by mass percentage for practical applications, and in atomic fraction for basic science studies. Alloys are usually classified as substitutional or interstitial alloys, depending on the atomic arrangement that forms the alloy. They can be further classified as homogeneous (consisting of a single phase), or heterogeneous (consisting of two or more phases) or intermetallic.
"
Amalgam_(chemistry),Chemistry,1,"An amalgam is an alloy of mercury with another metal. It may be a liquid, a soft paste or a solid, depending upon the proportion of mercury. These alloys are formed through metallic bonding,[1] with the electrostatic attractive force of the conduction electrons working to bind all the positively charged metal ions together into a crystal lattice structure.[2] Almost all metals can form amalgams with mercury, the notable exceptions being iron, platinum, tungsten, and tantalum. Silver-mercury amalgams are important in dentistry, and gold-mercury amalgam is used in the extraction of gold from ore. Dentistry has used alloys of mercury  with metals such as silver, copper, indium, tin and zinc.
"
